"id","comment"
,"monggo Mas Haris, boleh sekali :)"
"G_B9N_FId_c",
,"Kalo ngerasa nih video gak guna, trus ngapain lu tonton bambankk, hargailah karya seseorang😒"
"5d_2Mb4I6Lg",
"dHN7ygDsw7s",
"b4FUFmQlvQU",
"eodkKdNbJrA",
"VajVRF12I1Y",
"hP8n8WsRG6s",
"Hn-bVQXl4Bc",
,"Publisher 2013 ke atas kakak"
"gWj9nn8ggiY",
,"Ijin share ya.. terima kasih.."
"Ql8hMpzMxSo",
"R-BWZTB_kh0",
"P_B91MU3V0c",
"Esn6JiU6vro",
"BwY-EGJ08ek",
"DCtRrLuBHiQ",
"_NkpzQs6sa4",
"Lr3_UHWlc6E",
"MTJJeTynUAE",
,"bisa, nanti digambar yang udah ada di dokumen, klik kanan terus pilih change picture. masukkan gambar makanan yg diinginkan"
,"Bisa gk makanan khas"
"l0-2L_Q_4BU",
,"Itu musinya apa namanya"
,"langsung dicetak dari pdf nya"
"T3_5RJdF4_U",
"fYkRNL1dxto",
"HA4PU0mwb6w",
"V9dnUerjf0s",
"VZ79NBjGEcw",
,"thanks"
,"MANTAP ILMUNYA SANGAT BERMANPAAT BAGI SY .THANKS"
,"Keren ilmunya makasih Sudan menambah imu..."
,"Nambah ilmu.terimakasih.barakallah"
"oOQEld3gC-Q",
"iBIoSz_bnHs",
"490MxVF9his",
"S3M3Eu21rp4",
"m_OBCUsLvvI",
"x8gmcCH4mr4",
"gSLLGwyrY4s",
"z2YVRj5Pf78",
"mPU9s4aitcs",
"fUraC8IJObc",
"y2mBmLW1gmo",
"poYdTKt-TXQ",
"G2CNzbbM3bE",
"WrvxMqpAW5I",
,"Kalo yang tanpa mendeley gimana yah caranya???? Pilihan di type of sourcenya yang mana yah? Mohon di bantu... terimakasih..."
"vPIZxl29C3c",
"3gn4cCojEVc",
"u69xyMTjNy0",
"ULGeRooaZjg",
"Z0D_Rj4AQAQ",
"kW6vaHlvKM4",
"5GJUc_XYAeI",
"-fZ0L_u-2R4",
,"password yg dimasukin apa gan?"
,"Terimakasih"
"u-OllnG7Mps",
"Z4K2W9Gry7E",
"p9LSpgDCa5o",
"FkpC4aUuZ8Y",
"DnwC7MD0VtI",
"0WprhfMogHo",
"nhpMBOEuqiE",
"-mCOXDtCwjM",
"uWk3W389D-Q",
"UMP6nd1mQ2Q",
"G3wQBTSx8G4",
"czi8Z7Ex0Wo",
"1R9iWK_w7o4",
"_KSSSZxoFCU",
"EQTN6DsLVEQ",
"PxTQmqTlKFM",
"I4nmNVO4jy0",
,"j"
"4_KMd-6bki4",
"DFH4K7x8Y9o",
"KW203xItHqs",
"OManwJonRfw",
"QCaCLka2Ewk",
"w4dJxMF4qoY",
"oF-nyrCms5M",
"2QgteLfB6fQ",
"Qj9JaqMLvOU",
"PGVvCptixDQ",
"Enu9Yqh2yV8",
"5JTA-7dGLtY",
"SNwjYdIwPcY",
"JtboA871QNU",
,"Trims"
"Y1P3z8yoNPY",
"-StIZGfg_G4",
