,text_bersih
401,azzahraski hadu masyaallah dikomen sm yg lebih gacor kesibukannya
402,
403,anazarrrrr 
404,Hey lovely We were scrolling through and think youre absolutely gorgeous  Dm us wed love to collab
405,mangstabb
406,aditadz mohon bantuannya kaq Adit wkwk
407,andrnoam punten mass wkwk
408,kok kurus
409,parah ngeduluin
410,adiradiva 2
411,HAHAHA thanks a lot loh kalian berdua  senassee adiradiva kerenn
412,adiradiva ayo uppp
413,hutagalungpiki bener2 ye piki
414,Keren banget kakak
415,Semangat kakkak
416,kameriaeta makasih sayang
417,viandini08 makasih kating
418,Semangattt kaka
419,fiitrianf  makasih kating aku
420,Mantap mantap keren
421,syahruldhan99 
422,ahjayadi lanjutkan pak 
423,Mantep banget semangat lurr
424,Keren bgt
425,kijang satu lari
426,Mantap ngko lek bayaran traktiran yud
427,Mantapp keren banget temenku niiih
428,Wihhh siap siap siap
429,difaishak siap bu petarung
430,dindafaranita baru tau ya kakwkwk
431,mrjrezh kijang Dua segera merapat makan gado2
432,stiglo Masih kalah keren sama kak stiglo
433,anaari09 makasih Semangat jg cikgu
434,fikrirusli10 soto rampal 
435,Wihhhhhhhh
436,imahmakatita alo cikguu
437,Mantap bro Yudha semngat yo bro
438,Jan ndak umum 
439,fikrirusli10 dityayudha soto ae  wkwkw
440,keziatimbalo weehh sist kezia Semangat jg SI nya sist
441,andyrynt mosok seh lurr
442,andyrynt masuk yo bro sotone fikri
443,dityayudha gas gas gas gas gas
444,dityayudha aku ikut yoo wkwkwk pengen rsa soto rampal mbk2 ayu
445,Uwiiiiih semangaat jangan kasih kendor dindah
446,Dinda hbs ini jgn tambah marah2 y MANGAT 
447,Ihiyyy Semangat Bu guru3
448,Hee panglipuran
449,ochorpn wkwkwk Makasih kak ocho Semangat juga Magangnyaaa
450,srioktavnlaila WKWKWK ampun kak
451,tiarradewi Weeeh Makasih Tiara u too
452,zahrinnaz wkwk betul sekali pemirsaa
453,Yuhuuu cemunguts dindaa
454,dwiiwahyu9 Maaci dwi U too
455,Alhamdulillah bapak bangga part 2
456,mevitanisyaa HAHAHA mari bersamasama membanggakan bapak
457,Alhamdulillah selamat dindaa
458,Selamat dan semangattt din
459,septaauliaa Thank You septaaa
460,elsaaip Maaci aip
461,Duhh ngerii semangaaatt
462,alfinasyntiaas wkwkwk Thank You piin
463,asikk mangatt kak 
464,muhimmaaaah wkwkwk ayoo kak ditunggu nih twibbon KM nyaa
465,semangat qaqa
466,semangat
467,macchiatong Makasiih kak wkwkwk
468,tffnia31 wkkwk thank youuu
469,Ngerii suhu
470,WAAAH KEREN BGTT KAKAKKK TIPS TRICKNYA DONGGG BIAR KETERIMAAAA
471,Produktif bgt kakaaa 
472,zzefanyadw tips nya temenan sama kamu biar termotivasi 
473,maghfirahhan Alhamdulillah samaan kan fir 
474,vettapril adoh padahal kak veta yang lebih memotivasi
475,Bismillah nyusul
476,carissarhy bismillah bisa 
477,Josss vet 
478,budists ni yg komen juga mantep bat niii wkwk
479,terosss terosssss
480,maskidi nabrak dong terus terus 
481,Pingin ikutan magangmerdeka batch 3 ini tapi
482,prasetyoadh24 mending magang aja mas duitnya gede
483,yumnakanshaaa aku udah ikut kampus mengajar mas pingin lanjut buat ikutan studi independen Tapi gak di bolehin sama prodi
484,mangat jod
485,fajarmuhammad713 siaapnuhuun
486,Kok familiar liat foto nya wwwwww
487,mfaridmahardika wkwk tau aja
488,oiii gak boleh foto di situ jod 
489,semangat jody kuhhhhhhh 
490,Itu fotonya di perusahaan apa jod
491,muhammadrasyidulaulia wah iya Ultpi ini yang fotoin pak komandan 
492,harianingrumpuji siap ji
493,athallahh19 wah tempatnya rahasia Al
494,jodyirwn wkwk siapa tu muhammadirham99 iko jod
495,muhammadrasyidulaulia wkwk bukaanmana talok dia tu pembimbing yg ambil foto
496,hahha yo lah tu jof
497,Uang sakunya brpa bang
498,Anjay keren rek
499,rizkyarima11 sek lebih keren arek ITS
500,fikrirusli10 masih nope ane idih magang di microsoft mas
501,Alhamdulillah Kerennn Semangat ya
502,arihandayani267 siap te
503,Mantap cici
504,pahmiid pahmiyy
505,semangattt 
506,kristissanti ikut gak mbakk
507,mangatsee kakak
508,shahnazsetia aduh makasih kaka Oleholeh keliling jabar kok gak sampek rumah saya ya kak
509,wuhuuuw mangats aqsaaa
510,devianrrr depi kangen
511,KOK AKU RA DI TAG SIH 
512,KOK AKU RA DI TAG SIH 
513,Buguluuu
514,vosmeyoves nesu nesu terus semaput meneh kwe ngko
515,fkrstuv apaan sih kok saya malu di komen anda pak
